Date,Open,High,Low,Close,Adj Close,Volume
2023-05-20,0.467992,0.470808,0.463529,0.469081,0.469081,479336096
2023-05-21,0.469075,0.470622,0.456592,0.457550,0.457550,537234089
2023-05-22,0.457575,0.466325,0.452150,0.461601,0.461601,904918280
2023-05-23,0.461609,0.466837,0.459444,0.465430,0.465430,829964870
2023-05-24,0.465441,0.465441,0.447464,0.453609,0.453609,1029450864
2023-05-25,0.453586,0.454629,0.445622,0.453734,0.453734,697466810
2023-05-26,0.453743,0.469571,0.453007,0.469140,0.469140,947890355
2023-05-27,0.469117,0.477721,0.466716,0.472245,0.472245,634937525
2023-05-28,0.472240,0.485815,0.470784,0.482889,0.482889,570647795
2023-05-29,0.482875,0.494352,0.477904,0.494151,0.494151,1039953786
2023-05-30,0.494232,0.525426,0.490547,0.521938,0.521938,2119990185
2023-05-31,0.521895,0.527198,0.502456,0.517386,0.517386,1585723566
2023-06-01,0.517388,0.517389,0.503199,0.507317,0.507317,1095700204
2023-06-02,0.507304,0.526328,0.504969,0.525387,0.525387,1070731055
2023-06-03,0.525356,0.529913,0.517046,0.519351,0.519351,684948363
2023-06-04,0.519366,0.544711,0.516614,0.535911,0.535911,943439712
2023-06-05,0.536006,0.541433,0.493546,0.510394,0.510394,2077075618
2023-06-06,0.510383,0.531809,0.498234,0.530464,0.530464,1595950808
2023-06-07,0.530428,0.537123,0.508934,0.519628,0.519628,1649651366
2023-06-08,0.519612,0.527333,0.516962,0.524546,0.524546,954016646
2023-06-09,0.524542,0.539884,0.521673,0.537917,0.537917,1233816475
2023-06-10,0.537972,0.538030,0.482365,0.508199,0.508199,2110109968
2023-06-11,0.508190,0.528397,0.504347,0.521221,0.521221,828115958
2023-06-12,0.521163,0.527524,0.511090,0.525721,0.525721,1199140307
2023-06-13,0.525678,0.561377,0.508765,0.520086,0.520086,2617707336
2023-06-14,0.520086,0.520210,0.467480,0.480220,0.480220,1757437649
2023-06-15,0.480227,0.484502,0.469558,0.480118,0.480118,1180880587
2023-06-16,0.480107,0.482349,0.459285,0.475743,0.475743,1166129294
2023-06-17,0.475764,0.485229,0.470574,0.479790,0.479790,635717535
2023-06-18,0.479787,0.496697,0.476571,0.487573,0.487573,743984056
2023-06-19,0.487572,0.497280,0.483711,0.493395,0.493395,870856054
2023-06-20,0.493424,0.495558,0.473783,0.492870,0.492870,1073485912
2023-06-21,0.492861,0.502522,0.490334,0.500695,0.500695,1305891782
2023-06-22,0.500641,0.523157,0.491313,0.494975,0.494975,1518125316
2023-06-23,0.494963,0.501890,0.486148,0.496566,0.496566,1108503309
2023-06-24,0.496576,0.496576,0.482828,0.487313,0.487313,693890997
2023-06-25,0.487316,0.495643,0.484208,0.490277,0.490277,681228509
2023-06-26,0.490279,0.491253,0.474574,0.479332,0.479332,953227780
2023-06-27,0.479357,0.484997,0.477232,0.483840,0.483840,847044879
2023-06-28,0.483839,0.483910,0.456541,0.465222,0.465222,989599376
2023-06-29,0.465171,0.476723,0.462396,0.474722,0.474722,718808031
2023-06-30,0.474699,0.482270,0.456510,0.474037,0.474037,1261905827
2023-07-01,0.474020,0.475455,0.465604,0.473522,0.473522,737421634
2023-07-02,0.473516,0.494530,0.471327,0.484493,0.484493,1154671474
2023-07-03,0.484498,0.490911,0.479713,0.489547,0.489547,1059955641
2023-07-04,0.489510,0.492622,0.483337,0.487842,0.487842,841667226
2023-07-05,0.487810,0.491600,0.471154,0.478272,0.478272,950150566
2023-07-06,0.478229,0.483781,0.463296,0.463739,0.463739,950187883
2023-07-07,0.463715,0.470485,0.460630,0.468765,0.468765,682747263
2023-07-08,0.468757,0.473962,0.466045,0.470644,0.470644,409435365
2023-07-09,0.470644,0.471789,0.468117,0.468550,0.468550,324938269
2023-07-10,0.468554,0.479986,0.464606,0.477664,0.477664,885726455
2023-07-11,0.477685,0.478288,0.471808,0.475719,0.475719,645625637
2023-07-12,0.475691,0.477021,0.467858,0.471105,0.471105,715809444
2023-07-13,0.471101,0.887511,0.470103,0.815365,0.815365,10397344596
2023-07-14,0.816197,0.821412,0.680763,0.719157,0.719157,7060210982
2023-07-15,0.719216,0.731021,0.696901,0.713279,0.713279,3369947488
2023-07-16,0.713353,0.787332,0.709725,0.746860,0.746860,3937651423
2023-07-17,0.746966,0.760302,0.718425,0.739205,0.739205,2506419441
2023-07-18,0.739097,0.780989,0.736093,0.779540,0.779540,2626009775
2023-07-19,0.779587,0.841841,0.774335,0.820694,0.820694,3954595150
2023-07-20,0.820645,0.846799,0.773945,0.794058,0.794058,2843382854
2023-07-21,0.794030,0.797999,0.764142,0.772502,0.772502,1860721533
2023-07-22,0.772447,0.778912,0.730680,0.733287,0.733287,1637792182
2023-07-23,0.733307,0.750559,0.719309,0.738683,0.738683,1541388766
2023-07-24,0.738647,0.741507,0.687578,0.702765,0.702765,2266820366
2023-07-25,0.702817,0.714099,0.679149,0.709600,0.709600,1813094168
2023-07-26,0.709620,0.729527,0.696076,0.715799,0.715799,1676809706
2023-07-27,0.715801,0.727075,0.709105,0.713646,0.713646,1480051564
2023-07-28,0.713633,0.717543,0.704510,0.712568,0.712568,1055913805
2023-07-29,0.712543,0.714611,0.706867,0.712739,0.712739,725769153
2023-07-30,0.712723,0.729810,0.693537,0.705136,0.705136,1323282055
2023-07-31,0.705110,0.717364,0.692154,0.698521,0.698521,1488758727
2023-08-01,0.698503,0.707211,0.683532,0.707211,0.707211,1438067858
2023-08-02,0.707087,0.707087,0.680232,0.685195,0.685195,1132335650
2023-08-03,0.685180,0.686761,0.658851,0.664135,0.664135,1414576525
2023-08-04,0.664088,0.666442,0.630304,0.635539,0.635539,1342066974
2023-08-05,0.635532,0.635532,0.612637,0.628423,0.628423,1142144189
2023-08-06,0.628429,0.636435,0.621634,0.623087,0.623087,849060664
2023-08-07,0.623093,0.627778,0.604978,0.621931,0.621931,1417493753
2023-08-08,0.621928,0.644886,0.615318,0.642406,0.642406,1296031585
2023-08-09,0.642375,0.662344,0.634653,0.643365,0.643365,1659437400
2023-08-10,0.643346,0.643440,0.625276,0.632986,0.632986,1159039975
2023-08-11,0.632991,0.639148,0.627333,0.631675,0.631675,885715586
2023-08-12,0.631657,0.632152,0.625542,0.627205,0.627205,519563800
2023-08-13,0.627192,0.637041,0.624903,0.626102,0.626102,635297148
2023-08-14,0.626098,0.635451,0.624724,0.634282,0.634282,939329129
2023-08-15,0.634238,0.634238,0.593503,0.609599,0.609599,1230727429
2023-08-16,0.609588,0.614315,0.579052,0.588328,0.588328,1688583741
2023-08-17,0.588344,0.593471,0.468106,0.507142,0.507142,2425926882
2023-08-18,0.507245,0.517061,0.487595,0.506100,0.506100,2169285316
2023-08-19,null,null,null,null,null,null
2023-08-20,0.519849,0.552518,0.517551,0.547034,0.547034,1563215872
